County & State,FIPS,2017,2018,2019,2020,2021
"DeKalb County,  Georgia",13089,200690,217610,249964,265339,283725
"Dodge County,  Georgia",13091,75993,77315,81023,80569,85097
"Dooly County,  Georgia",13093,81701,87638,89468,87961,92904
"Dougherty County,  Georgia",13095,103440,103955,106720,119732,126864
"Douglas County,  Georgia",13097,151312,175678,181492,191481,204750
"Early County,  Georgia",13099,91326,87112,87330,91762,96920
"Echols County,  Georgia",13101,68792,58588,60958,60882,64027
"Effingham County,  Georgia",13103,179481,162807,167322,170616,180192
"Elbert County,  Georgia",13105,92221,86164,86154,89439,94466
"Emanuel County,  Georgia",13107,75881,82688,79206,77190,81528
"Evans County,  Georgia",13109,98377,88060,92140,92818,98035
"Fannin County,  Georgia",13111,184219,180649,198390,208868,220607
"Fayette County,  Georgia",13113,272997,305613,312481,321205,343463
"Floyd County,  Georgia",13115,130041,143608,135349,148856,156800
"Forsyth County,  Georgia",13117,339630,380655,374148,382648,409163
"Franklin County,  Georgia",13119,114941,107020,113518,114782,121233
"Fulton County,  Georgia",13121,311819,333495,354266,376125,402189
"Gilmer County,  Georgia",13123,156240,171064,182783,187432,197966
"Glascock County,  Georgia",13125,74202,70152,68196,86271,91120
"Glynn County,  Georgia",13127,185413,183281,189667,207828,217718
"Gordon County,  Georgia",13129,126469,125875,136179,143609,151681
"Grady County,  Georgia",13131,128819,116395,120252,126503,133613
"Greene County,  Georgia",13133,189480,185178,222012,222067,234548
"Gwinnett County,  Georgia",13135,207955,239610,247306,263235,281476
